clip,frame,t_sec,people,team_blue,team_red,goalkeepers
16,8,0.8,13,7,6,0
16,9,0.9,13,7,6,0
16,10,1.0,13,7,6,0
16,11,1.1,13,7,6,0
16,12,1.2,13,7,6,0
16,13,1.3,13,7,6,0
16,14,1.4,12,7,5,0
16,15,1.5,12,7,5,0
16,16,1.6,13,8,5,0
16,17,1.7,14,9,5,0
16,18,1.8,14,9,5,0
16,19,1.9,14,9,5,0
16,20,2.0,14,9,5,0
16,21,2.1,14,9,5,0
16,22,2.2,14,9,5,0
16,23,2.3,15,9,6,0
16,24,2.4,15,9,6,0
16,25,2.5,15,9,6,0
16,26,2.6,16,9,7,1
16,27,2.7,15,8,7,1
16,28,2.8,15,8,7,1
16,29,2.9,16,8,8,1
16,30,3.0,16,8,8,1
16,31,3.1,16,8,8,1
16,32,3.2,18,9,9,1
16,33,3.3,18,9,9,1
16,34,3.4,18,9,9,1
16,35,3.5,18,9,9,1
16,36,3.6,18,9,9,1
16,37,3.7,18,9,9,1
16,38,3.8,18,9,9,1
16,39,3.9,17,8,9,1
16,40,4.0,17,8,9,1
16,41,4.1,17,8,9,1
16,42,4.2,17,8,9,1
16,43,4.3,17,8,9,1
16,44,4.4,17,8,9,1
16,45,4.5,17,8,9,1
16,46,4.6,16,8,8,1
16,47,4.7,14,7,7,1
16,48,4.8,14,7,7,1
16,49,4.9,14,7,7,1
17,0,0.0,14,7,7,1
17,1,0.1,14,7,7,1
17,2,0.2,14,7,7,1
17,3,0.3,14,7,7,1
17,4,0.4,13,7,6,0
17,5,0.5,13,7,6,0
17,6,0.6,13,7,6,0
17,7,0.7,13,7,6,0
17,8,0.8,14,7,7,1
17,9,0.9,15,8,7,1
17,10,1.0,15,8,7,1
17,11,1.1,15,8,7,1
17,12,1.2,15,8,7,1
17,13,1.3,15,8,7,1
17,14,1.4,15,8,7,1
17,15,1.5,15,8,7,1
17,16,1.6,15,8,7,1
17,17,1.7,15,8,7,1
17,18,1.8,15,8,7,1
17,19,1.9,15,8,7,1
17,20,2.0,16,8,8,1
17,21,2.1,17,9,8,1
17,22,2.2,16,9,7,0
17,23,2.3,17,9,8,0
17,24,2.4,17,9,8,0
17,25,2.5,17,9,8,0
